lambda12,lambda23,miu
1,1,26.2753803
1,14.1244539741282,15.36917305
2,8.93309092586236,17.51846968
2.5,7.41852507409512,21.27392163
3,6.3166439769309,24.16164468
3.5,5.4875489462117,30.1189558
4,4.84464808860215,32.1460772
5,3.91742135140293,40.6740748
