lambda12,lambda23,sigma
1,1,193.054296
1,14.1244539741282,352.199124
2,8.93309092586236,339.577632
2.5,7.41852507409512,317.233144
3,6.3166439769309,305.192522
3.5,5.4875489462117,299.014498
4,4.84464808860215,296.650686
5,3.91742135140293,306.57695
